Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-157.8356,-114.4778,0,bottom
C2,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-157.864,-116.6114,0,bottom
C3,0.1uF,C_0402_1005Metric,-149.0218,-119.9388,180,bottom
C4,10pF,C_0402_1005Metric,-145.542,-120.015,180,bottom
C5,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-142.875,-115.0366,90,bottom
C6,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-144.9324,-115.0366,90,bottom
C7,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-146.9898,-115.0366,90,bottom
C8,0.1µF,C_0402_1005Metric,-120.142,-125.984,90,bottom
C9,0.1µF,C_0402_1005Metric,-120.142,-120.641,90,bottom
C10,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-138.5824,-118.9736,-90,bottom
C11,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-160.147,-119.761,0,bottom
C12,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-160.147,-121.793,0,bottom
C13,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-160.147,-123.825,0,bottom
G***,LOGO,wifi_to_led_18mm,-157.0736,-131.1656,90,bottom
IC1,74HCT245,SOIC-20W_7.5x10.0mm_P1.27mm,-130.81,-121.92,90,bottom
L1,1uH,L_Taiyo-Yuden_NR-40xx_HandSoldering,-151.564,-112.4315,180,bottom
R1,1K,R_0402_1005Metric,-146.05,-118.11,-90,bottom
R2,110K,R_0402_1005Metric,-147.447,-118.0338,-90,bottom
R3,1M,R_0402_1005Metric,-143.637,-118.0084,-90,bottom
R4,1K,R_0402_1005Metric,-117.856,-125.975,-90,bottom
R5,10k,R_0402_1005Metric,-122.428,-125.975,-90,bottom
R6,1K,R_0402_1005Metric,-117.856,-120.641,-90,bottom
R7,10k,R_0402_1005Metric,-122.428,-120.65,-90,bottom
R8,680,R_0402_1005Metric,-108.4072,-114.0968,-90,bottom
R9,680,R_0402_1005Metric,-112.268,-114.1222,-90,bottom
R10,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-136.652,-110.762,90,bottom
R11,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-134.366,-110.744,90,bottom
R12,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-132.08,-110.762,90,bottom
R13,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-129.794,-110.762,90,bottom
R14,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-127.508,-110.762,90,bottom
R15,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-125.222,-110.762,90,bottom
R16,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-122.936,-110.753,90,bottom
R17,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-120.65,-110.744,90,bottom
SW1,SW_MEC_5G,PTS647SK38SMTR2LFS,-112.522,-125.908,180,bottom
SW2,SW_MEC_5G,PTS647SK38SMTR2LFS,-112.522,-120.65,180,bottom
